larc_id,task_name,see_description,grid_description,do_description,succeeded_verification,nb_successful_builds
379,ed36ccf7.json,"In the input, you should see A pattern of squares made of black and another color",The output grid size is the same as the input size,"To make the output, you have to turn the pattern in the input grid counter-clockwise",True,4
379,ed36ccf7.json,"In the input, you should see a 3x3 grid with a shape",The output grid size is the same as the old one,"To make the output, you have to rotate the shape 90 degrees to the left",True,2
396,fcc82909.json,"In the input, you should see .2x2 squares",The output grid size remains the same as the input.,"To make the output, you have to copy the input and add a green rectangle 2 pixels wide and as many rows high as there are colors in the square below each square.",True,0
396,fcc82909.json,"In the input, you should see add four green block below of first 4 block and add 6 green block in below of orange block",The output grid size not changed,"To make the output, you have to add green color of particular block",False,0
396,fcc82909.json,"In the input, you should see 2x2 blocks of different colors on a black background",The output grid size is the same as the input grid size.,"To make the output, you have to add a 2x2 green block below each colored block. If the colored block includes yellow and light blue add a 2x3 green block below the colored block. If the colored block includes just yellow add a 2x4 below the colored block.",False,0
396,fcc82909.json,"In the input, you should see 2x2 squares made of varying colored blocks placed in a black background.",The output grid size is the same as the input.,"To make the output, you have to add green 2x2 squares directly below the existing colored squares, like a mirror image but in green. However, if the existing square has yellow in it, then you need to make the green square 2x3 (2Wx3H) instead of 2x2.",False,0
396,fcc82909.json,"In the input, you should see squares grid",The output grid size interesting on change rectangle,"To make the output, you have to solved the task description",True,1
115,4c4377d9.json,"In the input, you should see grid of 3x4 with 2 colors.",The output grid size changes to 4x6,"To make the output, you have to copy the pattern as you see it on the bottom half of the grid into 3x4. Once done, flip the pattern up to the top half of the 3x4 grid.",True,3
115,4c4377d9.json,"In the input, you should see black squares",The output grid size 4 into 6,"To make the output, you have to create input in this size",False,0
115,4c4377d9.json,"In the input, you should see two different colors of blocks.",The output grid size should be 6x4.,"To make the output, you have to you should use the input grid blocks and also mirror them to complete the output grid.",True,0
284,b775ac94.json,"In the input, you should see clusters of different colored squares",The output grid size same as original,"To make the output, you have to create symmetrical clusters using the original shape. To start, you will need to find the color with the most number of squares in each cluster. Take that color's shape, and mirror it, using the single color block as the anchor point. Do this for each color per cluster.",False,0
284,b775ac94.json,"In the input, you should see colored squares positioned into patterns. One ""fully formed"" pattern will have a uniform color. Differently colored blocks will butt against this first pattern",The output grid size stays the same as the input,"To make the output, you have to expand the oddly colored cells into a pattern that mimics and mirrors the original set of cells that form the ""fully formed"" pattern. The output will have a snowflake appearance or a half or three-quarters of this ""snowflake"". In other words, 4 different colors bunched together will form a fully symmetrical ""snowflake"", while 3 will produce a ""three-quarters"" one. If that makes any sense.",True,1
284,b775ac94.json,"In the input, you should see 4 different colored squares that has a starting pattern that is shown by a group of red squares",The output grid size remains the same,"To make the output, you have to With each group of colors if a group of squares is given repeat that pattern with each color",False,0
284,b775ac94.json,"In the input, you should see small clusters of different colored squares and a design nearby that uses only one of those colors.",The output grid size is the same as the original.,"To make the output, you have to form the same pattern off of the other colored squares, positioned like a mirror image of the original.",True,0
284,b775ac94.json,"In the input, you should see different colored",The output grid size original,"To make the output, you have to colored squares",False,0
284,b775ac94.json,"In the input, you should see small of different colored squares and a design near by that only one of those colors.",The output grid size is the same as the original.,"To make the output, you have to form the same pattern off of the other colored squares, like a mirror image of the original.",False,0
142,63613498.json,"In the input, you should see a number of colored shapes including one with a grey border around it.",The output grid size is the same as the input size.,"To make the output, you have to copy the input grid. Find any shapes outside of the border which are exactly the same shape and orientation as the shape inside of the grey border. Turn that shape grey. Do not change the colored shape inside the grey border or any shapes outside of the grey border which do not have the same orientation and shape as the one inside the border.",True,1
142,63613498.json,"In the input, you should see a bunch of shapes of various shapes and a shape in the top left enclosed in a box.",The output grid size should be the same as the input.,"To make the output, you have to find the shape closest to a corner that isn't the top left corner. Color that shape the same color as the box in the top left.",True,0
142,63613498.json,"In the input, you should see different objects of different colors",The output grid size same size,"To make the output, you have to change object on the rightmost grid to gray",False,0
142,63613498.json,"In the input, you should see a 10x10 grid",The output grid size should remain the same.,"To make the output, you have to color one gray on the right a color that is not already in use",False,0
142,63613498.json,"In the input, you should see many color patterns, different size and different shape",The output grid size the same size,"To make the output, you have to from the right column to left get the first pattern, if there is no same color pattern then change its color to grey, otherwise pass it and keep check on form right to left column.",True,0
292,ba97ae07.json,"In the input, you should see two colored line touching",The output grid size is the same,"To make the output, you have to make the other color line on top",True,1
292,ba97ae07.json,"In the input, you should see like",The output grid size good,"To make the output, you have to nice",True,0
292,ba97ae07.json,"In the input, you should see two colored lines intersecting",The output grid size is the same as the input grid,"To make the output, you have to copy the input grid. In the output, change the color where the two lines meet so that the other color line is on top.",True,1
292,ba97ae07.json,"In the input, you should see two colored line touching",The output grid size is the same,"To make the output, you have to make the other color line on top",True,1
338,d631b094.json,"In the input, you should see one color of blocks on a black background",The output grid size is one block tall and the same amount of blocks wide as the number of colored blocks in the input grid,"To make the output, you have to color the whole output grid the color of the colored input grid blocks so there is a horizontal line of colored blocks",True,2
338,d631b094.json,"In the input, you should see a grid with one color squares and black squares",The output grid size be a horizontal line with the number of colored squares.,"To make the output, you have to make the squares the same color as the colored squares.",True,0
338,d631b094.json,"In the input, you should see one colored box and few black box",The output grid size only two box,"To make the output, you have to fill only the colored one",True,0
154,68b16354.json,"In the input, you should see many squares of various colors",The output grid size is the same as the input grid size,"To make the output, you have to flip the input grid vertically",True,2
154,68b16354.json,"In the input, you should see a grid of random colored dots.",The output grid size is the same as the original.,"To make the output, you have to flip the original grid vertically.",True,0
154,68b16354.json,"In the input, you should see many colored squares",The output grid size is the same as the input grid size,"To make the output, you have to flip the input grid vertically",False,0
380,ef135b50.json,"In the input, you should see Red squares on a black background",The output grid size is the same,"To make the output, you have to put dark red squares in between the space that the light red squares across from each other only left to right squares",True,1
380,ef135b50.json,"In the input, you should see fill the empty space","The output grid size In the input, you should see...fill the empty space","To make the output, you have to In the input, you should see...fill the empty space",False,0
380,ef135b50.json,"In the input, you should see red squares on a black background",The output grid size is the same,"To make the output, you have to put dark red squares in between the space that the light red squares across from each other only left to right squares.",True,0
380,ef135b50.json,"In the input, you should see black the brown color in owner in input","The output grid size In the input, you should see...black the brown color in owner in input","To make the output, you have to In the input, you should see...black the brown color in owner in input",False,0
103,4522001f.json,"In the input, you should see a 3x3 grid with a 2x2 green square in one corner with a red square",The output grid size is 9x9,"To make the output, you have to make grid 9x9. Note the diagonal that the red square is in in the input. The green square in the diagonal will indicate which corner in the output you should put a 4x4 green square in the output. The red square indicates which corner another 4x4 green square will touch it your new square in the output grid. So you will have two green 4x4 squares touching each other corner to corner.",True,2
103,4522001f.json,"In the input, you should see a 3x3 grid with a 2x2 green square in one corner. The innermost cell of the green square is red.",The output grid size is 9x9.,"To make the output, you have to make the output grid 9x9 and make the grid black. Then, make a 4x4 green grid in the output in the same corner as the green square in the input. Then, make another 4x4 green square that is only touching the corner of the 4x4 square.",True,0
251,a5f85a15.json,"In the input, you should see diagonal lines of colored squares.",The output grid size is the same as the input.,"To make the output, you have to change every other square on each of the diagonal lines to yellow (starting with the 2nd square on each line)",True,1
251,a5f85a15.json,"In the input, you should see diagonal lines of colored squares.",The output grid size is the same as the original.,"To make the output, you have to change every other square on each of the diagonal lines to yellow",True,1
251,a5f85a15.json,"In the input, you should see diagonal lines of colored squares",The output grid size is the same as the input grid size,"To make the output, you have to .replicate the original input grid, then starting from the top, change every other square on each of the diagonal lines to yellow",True,0
314,cce03e0d.json,"In the input, you should see a 3x3 grid of colored squares with",The output grid size is 9x9,"To make the output, you have to Visualize the output grid as nine 3x3 blocks. The red squares on your input indicate which 'blocks' in your 9x9 grid you should work in. Copy the 3x3 input pattern to the 'blocks' indicated by the location of the red squares.",True,2
314,cce03e0d.json,"In the input, you should see blue and red patterns on a black background",The output grid size the grid pull out and should be about 9x9,"To make the output, you have to copy the pattern and past it in the grid in a diagonal focus",False,0
314,cce03e0d.json,"In the input, you should see red and blue patterns in a three by three pattern",The output grid size will be nine by nine,"To make the output, you have to place the patterns inside the squares",False,0
314,cce03e0d.json,"In the input, you should see corresponding",The output grid size including crosses,"To make the output, you have to change crosses",False,0
314,cce03e0d.json,"In the input, you should see 3x3 grid",The output grid size 9x9 grid,"To make the output, you have to many grid",False,0
314,cce03e0d.json,"In the input, you should see corresponding",The output grid size including,"To make the output, you have to crosses",True,0
197,83302e8f.json,"In the input, you should see a square with a red grid and lines.",The output grid size is small.,"To make the output, you have to change color.",False,0
197,83302e8f.json,"In the input, you should see an array of black squares separated by a partially broken grid of colored lines.",The output grid size is identical to the input grid.,"To make the output, you have to for every black square that has fully solid borders, recolor from black to green. For every square that has broken borders, recolor from black to yellow. Leave border lines in the original color.",True,1
197,83302e8f.json,"In the input, you should see the lot of squares. You will fill the space of the squares yellow color. Not space of square add the green color.",The output grid size same size of output grid.,"To make the output, you have to In the input, you should see...the lot of squares. You will fill the spaced of the squares yellow color. Not spaced of square add the green color.",True,0
178,74dd1130.json,"In the input, you should see 2 or three colors with a gray squares",The output grid size remains the same,"To make the output, you have to mirror the pattern and focus the pattern around to the left",True,0
178,74dd1130.json,"In the input, you should see 2 or 3 colors with a gray squares",The output grid size remains the same,"To make the output, you have to rotate it 90 degree clockwise and mirror the result",True,2
178,74dd1130.json,"In the input, you should see two or more color squares on a gray background.",The output grid size remains the same,"To make the output, you have to move the entire grid on the diagonal and mirror it. Imagine the top right and pull it down and to the left.",True,0
178,74dd1130.json,"In the input, you should see a gray grid with 5 squares the if you number the grid squares from top down left to right starting with number 1 and the the the number 1, 2, and 9 squares should be red 6, and 8 should be light blue the rest of the grid is gray.",The output grid size is the same,"To make the output, you have to move red square number 2 to number 4 change two to gray",False,0
178,74dd1130.json,"In the input, you should see change color",The output grid size change size,"To make the output, you have to change color",False,0
20,1190e5a7.json,"In the input, you should see colored grid",The output grid size number of size,"To make the output, you have to successfully",True,1
20,1190e5a7.json,"In the input, you should see a large grid with two colors","The output grid size should be cut either in a 2x3, 5x6, or, 4x2 size","To make the output, you have to only use the color inside the lines, one color the whole output grid",False,0
20,1190e5a7.json,"In the input, you should see A green grid with blue lines.",The output grid size The grid goes to a 5 by six green grid.,"To make the output, you have to You change the grid to all green or all green.",False,0
