larc_id,task_name,see_description,grid_description,do_description
379,ed36ccf7.json,"In the input, you should see A pattern of squares made of black and another color",The output grid size is the same as the input size,"To make the output, you have to turn the pattern in the input grid counter-clockwise"
115,4c4377d9.json,"In the input, you should see grid of 3x4 with 2 colors.",The output grid size changes to 4x6,"To make the output, you have to copy the pattern as you see it on the bottom half of the grid into 3x4. Once done, flip the pattern up to the top half of the 3x4 grid."
284,b775ac94.json,"In the input, you should see colored squares positioned into patterns. One ""fully formed"" pattern will have a uniform color. Differently colored blocks will butt against this first pattern",The output grid size stays the same as the input,"To make the output, you have to expand the oddly colored cells into a pattern that mimics and mirrors the original set of cells that form the ""fully formed"" pattern. The output will have a snowflake appearance or a half or three-quarters of this ""snowflake"". In other words, 4 different colors bunched together will form a fully symmetrical ""snowflake"", while 3 will produce a ""three-quarters"" one. If that makes any sense."
142,63613498.json,"In the input, you should see a number of colored shapes including one with a grey border around it.",The output grid size is the same as the input size.,"To make the output, you have to copy the input grid. Find any shapes outside of the border which are exactly the same shape and orientation as the shape inside of the grey border. Turn that shape grey. Do not change the colored shape inside the grey border or any shapes outside of the grey border which do not have the same orientation and shape as the one inside the border."
292,ba97ae07.json,"In the input, you should see two colored line touching",The output grid size is the same,"To make the output, you have to make the other color line on top"
338,d631b094.json,"In the input, you should see one color of blocks on a black background",The output grid size is one block tall and the same amount of blocks wide as the number of colored blocks in the input grid,"To make the output, you have to color the whole output grid the color of the colored input grid blocks so there is a horizontal line of colored blocks"
154,68b16354.json,"In the input, you should see many squares of various colors",The output grid size is the same as the input grid size,"To make the output, you have to flip the input grid vertically"
380,ef135b50.json,"In the input, you should see Red squares on a black background",The output grid size is the same,"To make the output, you have to put dark red squares in between the space that the light red squares across from each other only left to right squares"
103,4522001f.json,"In the input, you should see a 3x3 grid with a 2x2 green square in one corner with a red square",The output grid size is 9x9,"To make the output, you have to make grid 9x9. Note the diagonal that the red square is in in the input. The green square in the diagonal will indicate which corner in the output you should put a 4x4 green square in the output. The red square indicates which corner another 4x4 green square will touch it your new square in the output grid. So you will have two green 4x4 squares touching each other corner to corner."
251,a5f85a15.json,"In the input, you should see diagonal lines of colored squares.",The output grid size is the same as the input.,"To make the output, you have to change every other square on each of the diagonal lines to yellow (starting with the 2nd square on each line)"
314,cce03e0d.json,"In the input, you should see a 3x3 grid of colored squares with",The output grid size is 9x9,"To make the output, you have to Visualize the output grid as nine 3x3 blocks. The red squares on your input indicate which 'blocks' in your 9x9 grid you should work in. Copy the 3x3 input pattern to the 'blocks' indicated by the location of the red squares."
197,83302e8f.json,"In the input, you should see an array of black squares separated by a partially broken grid of colored lines.",The output grid size is identical to the input grid.,"To make the output, you have to for every black square that has fully solid borders, recolor from black to green. For every square that has broken borders, recolor from black to yellow. Leave border lines in the original color."
178,74dd1130.json,"In the input, you should see 2 or 3 colors with a gray squares",The output grid size remains the same,"To make the output, you have to rotate it 90 degree clockwise and mirror the result"
20,1190e5a7.json,"In the input, you should see colored grid",The output grid size number of size,"To make the output, you have to successfully"
